# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
59000 209.986
59100 209.928
59200 210.098
59300 211.168
59400 212.139
59500 212.052
59600 212.629
59700 212.754
59800 213.031
59900 213.504
60000 214.083
60100 213.869
60200 214.022
60300 213.724
60400 215.09
60500 217.21
60600 218.911
60700 220.428
60800 221.394
60900 222.147
61000 222.8
61100 223.351
61200 223.376
61300 223.851
61400 223.83
61500 224.205
61600 225.262
61700 225.233
61800 225.487
61900 225.936
62000 225.729
62100 225.717
62200 225.951
62300 225.137
62400 225.606
62500 226.274
62600 227.279
62700 227.797
62800 228.088
62900 228.83
63000 229.487
63100 229.367
63200 229.566
63300 230.671
63400 230.79
63500 231.719
63600 231.966
63700 232.094
63800 232.9
63900 233.755
64000 234.799
64100 235.161
64200 236.818
64300 237.988
64400 237.943
64500 237.514
64600 237.844
64700 238.044
64800 238.191
64900 239.827
65000 240.5
65100 241.029
65200 240.945
65300 240.68
65400 241.128
65500 241.271
65600 241.808
65700 241.636
65800 242.593
65900 242.739
66000 243.235
66100 243.945
66200 244.511
66300 244.815
66400 244.726
66500 244.783
66600 245.533
66700 246.028
66800 246.535
66900 246.956
67000 247.454
67100 247.803
67200 247.741
67300 247.583
67400 248.22
67500 248.745
67600 248.89
67700 249.659
67800 250.909
67900 252.317
68000 252.683
68100 253.122
68200 253.497
68300 252.971
68400 252.942
68500 252.824
68600 253.334
68700 254.076
68800 254.545
68900 253.542
69000 252.8
69100 251.898
69200 251.065
69300 251.124
69400 251.503
69500 252.113
69600 252.753
69700 253.174
69800 253.219
69900 252.998
70000 253.282
70100 253.901
70200 254.312
70300 254.406
70400 254.153
70500 254.026
70600 253.12
70700 253.056
70800 253.314
70900 252.611
71000 252.105
71100 251.463
71200 251.98
71300 253.152
71400 254.133
71500 253.704
71600 253.767
71700 254.316
71800 253.902
71900 253.793
72000 253.829
72100 253.395
72200 253.758
72300 253.363
72400 252.647
72500 252.409
72600 252.248
72700 252.592
72800 252.32
72900 251.868
73000 253.021
73100 253.66
73200 253.943
73300 253.37
73400 252.772
73500 252.102
73600 252.167
73700 252.361
73800 252.473
73900 253.479
74000 253.542
74100 253.077
74200 253.571
74300 253.655
74400 253.722
74500 253.302
74600 253.427
74700 254.668
74800 254.598
74900 254.993
75000 255.061
75100 254.014
75200 254.286
75300 253.709
75400 253.232
75500 252.4
75600 252.768
75700 253.285
75800 253.896
75900 253.522
76000 253.973
76100 253.766
76200 253.612
76300 252.907
76400 253.302
76500 252.682
76600 252.32
76700 252.705
76800 253.51
76900 254.254
77000 253.887
77100 253.453
77200 253.455
77300 254.213
77400 255.375
77500 255.381
77600 255.612
77700 255.139
77800 256.569
77900 257.173
78000 257.663
78100 258.018
78200 258.279
78300 259.074
78400 259.2
78500 259.274
78600 259.046
78700 258.382
78800 258.9
78900 259.03
79000 259.261
79100 259.013
79200 259.416
79300 259.182
79400 259.37
79500 258.847
79600 258.673
79700 258.355
79800 257.662
79900 258.266
80000 258.995
80100 259.043
80200 258.8
80300 257.922
80400 258.103
80500 258.008
80600 257.608
80700 256.32
80800 256.352
80900 257.356
81000 258.787
81100 258.81
81200 258.478
81300 258.203
81400 257.204
81500 256.501
81600 257.281
81700 258.418
81800 259.268
81900 259.421
82000 259.756
82100 259.109
82200 259.248
82300 259.847
82400 260.913
82500 261.36
82600 260.664
82700 260.503
82800 260.534
82900 261.028
83000 261.789
83100 261.458
83200 260.858
83300 260.165
83400 259.352
83500 259.801
83600 259.92
83700 259.758
83800 259.911
83900 260.111
84000 260.858
84100 261.049
84200 261.589
84300 262.175
84400 262.04
84500 261.202
84600 261.797
84700 262.405
84800 263.314
84900 263.143
85000 262.896
85100 262.824
85200 262.48
85300 262.044
85400 261.619
85500 261.515
85600 261.486
85700 261.544
85800 261.658
85900 261.736
86000 261.458
86100 262.223
86200 262.049
86300 262.116
86400 262.392
86500 262.13
86600 262.234
86700 262.009
86800 262.492
86900 262.777
87000 261.951
87100 260.544
87200 259.494
87300 259.24
87400 259.817
87500 260.07
87600 259.948
87700 259.185
87800 259.397
87900 259.554
88000 259.477
88100 259.828
88200 259.376
88300 258.177
88400 257.454
88500 257.744
88600 258.374
88700 258.12
88800 258.433
88900 258.961
89000 258.969
89100 258.984
89200 259.94
89300 261.347
89400 262.353
89500 262.327
89600 261.912
89700 262.449
89800 262.559
89900 264.177
90000 264.259
90100 263.578
90200 263.722
90300 263.994
90400 263.589
90500 263.227
90600 263.621
90700 264.077
90800 264.085
90900 263.37
91000 262.844
91100 262.872
91200 263.208
91300 262.484
91400 262.672
91500 262.223
91600 261.503
91700 260.801
91800 261.501
91900 260.795
92000 260.027
92100 259.837
92200 259.38
92300 258.899
92400 259.146
92500 258.936
92600 258.952
92700 259.021
92800 259.06
92900 258.793
93000 258.609
93100 257.536
93200 257.271
93300 257.394
93400 257.155
93500 257.66
93600 257.397
93700 256.921
93800 257.054
93900 257.581
94000 257.613
94100 258.251
94200 258.823
94300 259.273
94400 259.233
94500 259.953
94600 260.267
94700 259.243
94800 259.535
94900 259.567
95000 260.629
95100 260.842
95200 261.155
95300 261.061
95400 261.342
95500 260.755
95600 260.192
95700 259.861
95800 260.041
95900 260.026
96000 260.124
96100 260.288
96200 260.373
96300 259.756
96400 259.142
96500 259.719
96600 260.034
96700 260.897
96800 260.81
96900 260.184
97000 259.781
97100 260.255
97200 259.518
97300 259.434
97400 259.623
97500 259.806
97600 260.088
97700 260.003
97800 260.915
97900 261.504
98000 260.89
98100 260.238
98200 260.261
98300 260.329
98400 260.054
98500 260.554
98600 262.021
98700 261.845
98800 262.84
98900 262.853
99000 263.372
99100 263.278
99200 262.746
99300 262.812
99400 263.586
99500 262.825
99600 262.25
99700 261.832
99800 260.744
99900 259.979
100000 259.609
