# Time-averaged data for fix rg_avg_A
# TimeStep c_rg_A
64100 27.8141
64200 27.8021
64300 27.8013
64400 27.8094
64500 27.8228
64600 27.8264
64700 27.8313
64800 27.8431
64900 27.851
65000 27.8417
65100 27.8384
65200 27.8402
65300 27.8476
65400 27.8413
65500 27.8326
65600 27.8262
65700 27.8275
65800 27.8173
65900 27.8183
66000 27.8236
66100 27.8248
66200 27.8315
66300 27.826
66400 27.7967
66500 27.7883
66600 27.7751
66700 27.7675
66800 27.7589
66900 27.749
67000 27.7403
67100 27.718
67200 27.7002
67300 27.6779
67400 27.6709
67500 27.6821
67600 27.6873
67700 27.6742
67800 27.6677
67900 27.6579
68000 27.6649
68100 27.6625
68200 27.655
68300 27.6584
68400 27.6582
68500 27.6658
68600 27.6678
68700 27.6584
68800 27.65
68900 27.6429
69000 27.6324
69100 27.647
69200 27.6577
69300 27.6599
69400 27.6713
69500 27.6808
69600 27.6853
69700 27.7027
69800 27.7033
69900 27.6916
70000 27.6726
70100 27.6691
70200 27.6656
70300 27.6681
70400 27.6684
70500 27.6773
70600 27.685
70700 27.6806
70800 27.6914
70900 27.6896
71000 27.6686
71100 27.6511
71200 27.6579
71300 27.6766
71400 27.6861
71500 27.6889
71600 27.7024
71700 27.6996
71800 27.6906
71900 27.6791
72000 27.6822
72100 27.6948
72200 27.6857
72300 27.6741
72400 27.6563
72500 27.6484
72600 27.643
72700 27.6402
72800 27.6374
72900 27.6249
73000 27.6333
73100 27.6355
73200 27.6622
73300 27.685
73400 27.6781
73500 27.6655
73600 27.6555
73700 27.6519
73800 27.6554
73900 27.6489
74000 27.6268
74100 27.6121
74200 27.625
74300 27.6297
74400 27.6601
74500 27.6901
74600 27.694
74700 27.6883
74800 27.6808
74900 27.6661
75000 27.6627
75100 27.6509
75200 27.6436
75300 27.639
75400 27.6328
75500 27.6138
75600 27.6089
75700 27.6105
75800 27.5933
75900 27.5869
76000 27.5735
76100 27.5555
76200 27.561
76300 27.5609
76400 27.5554
76500 27.5468
76600 27.5414
76700 27.5447
76800 27.5485
76900 27.5403
77000 27.5601
77100 27.5653
77200 27.5575
77300 27.5545
77400 27.5387
77500 27.5314
77600 27.5273
77700 27.5322
77800 27.5368
77900 27.5409
78000 27.5442
78100 27.5459
78200 27.5514
78300 27.5673
78400 27.5951
78500 27.6184
78600 27.6309
78700 27.6321
78800 27.6375
78900 27.654
79000 27.6555
79100 27.6263
79200 27.5843
79300 27.5781
79400 27.5875
79500 27.5942
79600 27.5872
79700 27.5861
79800 27.5755
79900 27.581
80000 27.5783
80100 27.5749
80200 27.5558
80300 27.5487
80400 27.5348
80500 27.5196
80600 27.5018
80700 27.4945
80800 27.4668
80900 27.4589
81000 27.4672
81100 27.4561
81200 27.4313
81300 27.4226
81400 27.4036
81500 27.4036
81600 27.3864
81700 27.3646
81800 27.3589
81900 27.3363
82000 27.3181
82100 27.3108
82200 27.301
82300 27.2956
82400 27.3021
82500 27.2934
82600 27.2956
82700 27.3041
82800 27.313
82900 27.3088
83000 27.2913
83100 27.2907
83200 27.2896
83300 27.2842
83400 27.2823
83500 27.2877
83600 27.3023
83700 27.3006
83800 27.2906
83900 27.2993
84000 27.2956
84100 27.2849
84200 27.2751
84300 27.2793
84400 27.2769
84500 27.278
84600 27.2734
84700 27.2736
84800 27.2985
84900 27.3028
85000 27.2984
85100 27.2928
85200 27.2978
85300 27.2883
85400 27.2849
85500 27.2993
85600 27.3036
85700 27.3204
85800 27.3226
85900 27.3276
86000 27.3381
86100 27.3487
86200 27.367
86300 27.3607
86400 27.3504
86500 27.349
86600 27.3416
86700 27.3386
86800 27.3285
86900 27.3273
87000 27.3368
87100 27.3187
87200 27.309
87300 27.2783
87400 27.273
87500 27.2715
87600 27.2722
87700 27.2659
87800 27.2614
87900 27.2704
88000 27.2855
88100 27.294
88200 27.3091
88300 27.3091
88400 27.291
88500 27.2989
88600 27.3109
88700 27.3437
88800 27.3696
88900 27.3964
89000 27.4107
89100 27.413
89200 27.3942
89300 27.3836
89400 27.3752
89500 27.3718
89600 27.369
89700 27.3736
89800 27.3721
89900 27.3893
90000 27.4059
90100 27.3963
90200 27.3998
90300 27.4141
90400 27.4057
90500 27.4295
90600 27.4258
90700 27.4209
90800 27.4153
90900 27.397
91000 27.3913
91100 27.3867
91200 27.3847
91300 27.3992
91400 27.4022
91500 27.4301
91600 27.4585
91700 27.4667
91800 27.4652
91900 27.4482
92000 27.4404
92100 27.434
92200 27.4168
92300 27.4075
92400 27.4138
92500 27.4279
92600 27.4289
92700 27.4203
92800 27.424
92900 27.4188
93000 27.3984
93100 27.3972
93200 27.3939
93300 27.3965
93400 27.3777
93500 27.3701
93600 27.3682
93700 27.3454
93800 27.3159
93900 27.2968
94000 27.2908
94100 27.2912
94200 27.2965
94300 27.2906
94400 27.2851
94500 27.2866
94600 27.3034
94700 27.3246
94800 27.3158
94900 27.3059
95000 27.3111
95100 27.3193
95200 27.3308
95300 27.3501
95400 27.3573
95500 27.3547
95600 27.3615
95700 27.3616
95800 27.3563
95900 27.337
96000 27.3005
96100 27.2818
96200 27.2972
96300 27.3006
96400 27.3007
96500 27.317
96600 27.3405
96700 27.3412
96800 27.3515
96900 27.3678
97000 27.3753
97100 27.3812
97200 27.3794
97300 27.397
97400 27.4176
97500 27.4234
97600 27.4527
97700 27.4778
97800 27.518
97900 27.5228
98000 27.5251
98100 27.5177
98200 27.5071
98300 27.5042
98400 27.5079
98500 27.4921
98600 27.4938
98700 27.4758
98800 27.467
98900 27.458
99000 27.4382
99100 27.4314
99200 27.424
99300 27.4144
99400 27.4368
99500 27.4401
99600 27.4257
99700 27.424
99800 27.4369
99900 27.439
100000 27.4224
