# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
76200 100.3
76300 100.345
76400 100.485
76500 100.741
76600 100.575
76700 99.9525
76800 99.6367
76900 99.5445
77000 99.269
77100 99.1846
77200 99.4429
77300 98.993
77400 98.5584
77500 98.7072
77600 98.579
77700 98.2285
77800 98.2623
77900 98.4008
78000 98.5446
78100 98.2808
78200 98.3716
78300 98.291
78400 98.2813
78500 98.4553
78600 98.17
78700 97.7239
78800 97.5043
78900 97.163
79000 97.3177
79100 97.3383
79200 96.8154
79300 96.6758
79400 96.2001
79500 95.7276
79600 95.9709
79700 96.1326
79800 96.1855
79900 96.1186
80000 95.6446
80100 95.6468
80200 95.8133
80300 95.9077
80400 95.9485
80500 96.1196
80600 95.873
80700 95.7433
80800 95.5313
80900 95.141
81000 94.6047
81100 94.4402
81200 94.4595
81300 94.586
81400 94.7561
81500 94.8802
81600 95.3314
81700 95.7578
81800 96.1612
81900 95.9643
82000 95.6259
82100 95.4174
82200 95.1957
82300 95.3312
82400 95.576
82500 95.2135
82600 94.463
82700 93.9326
82800 94.2417
82900 94.3934
83000 94.4805
83100 94.1025
83200 94.0927
83300 94.4206
83400 94.715
83500 94.4563
83600 94.2723
83700 94.1911
83800 94.3532
83900 94.0649
84000 93.7789
84100 93.4507
84200 93.3227
84300 93.8738
84400 93.9521
84500 93.8259
84600 93.4254
84700 93.0977
84800 92.8017
84900 93.086
85000 93.3113
85100 93.0152
85200 92.9997
85300 92.8684
85400 93.0667
85500 92.7875
85600 92.4371
85700 92.4089
85800 92.2723
85900 92.0195
86000 91.6915
86100 91.4659
86200 91.4022
86300 91.3796
86400 90.7858
86500 90.1701
86600 90.1288
86700 89.9645
86800 90.1052
86900 89.963
87000 89.6391
87100 89.5438
87200 89.2035
87300 88.9803
87400 88.7177
87500 88.2379
87600 87.6291
87700 87.3375
87800 87.6227
87900 87.4882
88000 87.2131
88100 87.1338
88200 87.0379
88300 86.9069
88400 86.9644
88500 86.5447
88600 86.0026
88700 85.61
88800 84.9873
88900 84.6362
89000 84.2885
89100 84.5441
89200 84.5734
89300 84.3523
89400 83.7623
89500 83.5959
89600 83.333
89700 83.1445
89800 83.0545
89900 83.222
90000 82.5795
90100 81.8782
90200 81.2679
90300 80.9572
90400 80.8434
90500 80.8162
90600 80.5702
90700 80.2481
90800 80.4606
90900 80.4011
91000 80.226
91100 80.0161
91200 79.9966
91300 79.5387
91400 79.402
91500 79.0867
91600 78.8512
91700 78.6999
91800 78.6866
91900 78.439
92000 77.9015
92100 77.6599
92200 77.3695
92300 77.0233
92400 76.7314
92500 76.4869
92600 75.9423
92700 75.4734
92800 75.1625
92900 74.4655
93000 74.3678
93100 74.315
93200 74.2069
93300 73.9941
93400 74.0076
93500 73.9514
93600 73.8207
93700 73.5142
93800 73.3346
93900 73.4238
94000 73.148
94100 72.7301
94200 72.472
94300 72.8929
94400 73.1269
94500 73.0993
94600 72.8073
94700 72.3593
94800 72.1252
94900 71.953
95000 71.933
95100 72.2226
95200 72.2033
95300 71.9072
95400 71.5066
95500 71.3588
95600 71.1019
95700 70.6974
95800 70.5087
95900 70.6071
96000 70.5967
96100 70.2496
96200 69.8498
96300 69.9614
96400 70.2376
96500 70.5707
96600 70.4034
96700 70.2997
96800 70.1416
96900 70.1646
97000 70.2584
97100 70.2559
97200 70.2474
97300 70.2598
97400 70.5364
97500 70.8989
97600 71.1041
97700 71.3353
97800 71.2437
97900 71.5772
98000 71.7318
98100 72.2548
98200 72.8651
98300 73.0195
98400 73.3217
98500 73.8575
98600 74.0059
98700 73.9086
98800 73.5977
98900 73.0716
99000 72.8081
99100 73.1917
99200 73.4598
99300 73.3817
99400 72.828
99500 72.569
99600 72.4227
99700 72.0635
99800 71.906
99900 71.5495
100000 71.3203
