# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
58700 119.813
58800 119.694
58900 119.26
59000 119.532
59100 119.932
59200 120.071
59300 119.867
59400 119.551
59500 119.889
59600 119.78
59700 119.608
59800 120.105
59900 120.758
60000 121.223
60100 120.351
60200 120.383
60300 121.102
60400 120.779
60500 120.833
60600 120.869
60700 121.001
60800 120.855
60900 121.134
61000 121.17
61100 121.03
61200 120.692
61300 120.897
61400 120.989
61500 121.196
61600 121.537
61700 121.484
61800 121.907
61900 121.975
62000 121.082
62100 120.989
62200 120.802
62300 120.486
62400 120.577
62500 120.525
62600 120.846
62700 120.191
62800 119.269
62900 119.297
63000 120.162
63100 120.808
63200 121.09
63300 121.255
63400 122.219
63500 122.14
63600 122.346
63700 122.001
63800 121.755
63900 121.55
64000 120.925
64100 120.49
64200 120.2
64300 120.096
64400 120.147
64500 120.118
64600 120.226
64700 120.399
64800 120.463
64900 121.535
65000 122.109
65100 122.978
65200 123.911
65300 125.041
65400 125.863
65500 126.007
65600 125.945
65700 126.317
65800 127.017
65900 127.261
66000 127.296
66100 126.82
66200 127.641
66300 127.353
66400 127.38
66500 127.191
66600 126.874
66700 127.217
66800 127.684
66900 127.83
67000 127.294
67100 127.082
67200 127.799
67300 127.805
67400 128.013
67500 128.43
67600 128.45
67700 129.32
67800 129.581
67900 129.423
68000 130.003
68100 130.69
68200 131.087
68300 130.926
68400 131.222
68500 131.445
68600 132.162
68700 132.659
68800 133.977
68900 134.215
69000 134.903
69100 135.798
69200 136.762
69300 136.734
69400 136.967
69500 137.413
69600 137.12
69700 137.127
69800 136.761
69900 136.784
70000 136.86
70100 136.776
70200 137.765
70300 138.318
70400 139.28
70500 139.198
70600 137.949
70700 137.418
70800 136.974
70900 136.809
71000 137.442
71100 137.109
71200 136.919
71300 136.713
71400 137.151
71500 138.136
71600 138.818
71700 139.312
71800 138.854
71900 138.485
72000 138.633
72100 139.148
72200 139.241
72300 139.321
72400 139.019
72500 139.021
72600 139.378
72700 140.131
72800 140.198
72900 140.402
73000 141.265
73100 142.154
73200 142.745
73300 142.607
73400 142.796
73500 143.803
73600 145.108
73700 146.216
73800 146.149
73900 147.133
74000 147.853
74100 148.625
74200 149.6
74300 149.6
74400 149.582
74500 150.181
74600 150.419
74700 150.996
74800 150.536
74900 150.199
75000 150.569
75100 151.056
75200 150.557
75300 150.148
75400 149.747
75500 149.773
75600 149.492
75700 149.122
75800 149.809
75900 150.817
76000 150.714
76100 151.063
76200 151.837
76300 152.696
76400 151.872
76500 152.911
76600 154.08
76700 154.515
76800 153.882
76900 153.508
77000 153.227
77100 153.561
77200 154.378
77300 154.84
77400 155.059
77500 155.877
77600 156.493
77700 156.863
77800 157.395
77900 157.523
78000 157.512
78100 157.146
78200 157.696
78300 157.235
78400 157.637
78500 158.634
78600 159.47
78700 160.22
78800 161.791
78900 162.629
79000 163.375
79100 163.935
79200 163.946
79300 163.904
79400 164.857
79500 165.808
79600 165.906
79700 164.766
79800 164.077
79900 164.129
80000 164.748
80100 165.154
80200 165.445
80300 165.719
80400 166.532
80500 167.15
80600 167.041
80700 167.046
80800 167.55
80900 167.59
81000 166.941
81100 166.359
81200 166.629
81300 167.821
81400 168.39
81500 168.896
81600 169.677
81700 170.128
81800 170.083
81900 170.544
82000 170.606
82100 171.177
82200 171.209
82300 171.855
82400 173.174
