# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_1[4]
56900 141.733
57000 142.273
57100 142.587
57200 142.729
57300 142.804
57400 142.92
57500 143.646
57600 143.806
57700 144.155
57800 144.49
57900 144.869
58000 145.169
58100 145.644
58200 145.995
58300 146.08
58400 146.236
58500 145.816
58600 145.963
58700 146.168
58800 146.8
58900 147.235
59000 147.658
59100 148.156
59200 148.147
59300 148.33
59400 148.54
59500 148.799
59600 149.082
59700 149.161
59800 149.121
59900 149.356
60000 149.735
60100 150.249
60200 150.923
60300 151.389
60400 152.029
60500 152.42
60600 153.261
60700 154.252
60800 155.087
60900 156.031
61000 157.165
61100 157.946
61200 158.355
61300 158.684
61400 159.251
61500 159.439
61600 159.5
61700 159.826
61800 159.786
61900 159.956
62000 160.333
62100 160.656
62200 160.979
62300 160.942
62400 160.901
62500 161.337
62600 161.99
62700 162.266
62800 162.668
62900 162.797
63000 162.545
63100 162.682
63200 163.322
63300 163.668
63400 164.28
63500 165.08
63600 165.24
63700 165.494
63800 166.221
63900 166.831
64000 167.287
64100 167.839
64200 168.3
64300 168.646
64400 169.266
64500 169.375
64600 169.64
64700 170.106
64800 170.407
64900 170.659
65000 170.346
65100 170.049
65200 170.01
65300 170.268
65400 170.389
65500 170.657
65600 170.902
65700 171.337
65800 171.724
65900 172.26
66000 172.48
66100 172.638
66200 173.239
66300 173.497
66400 173.461
66500 173.367
66600 173.036
66700 173.336
66800 173.578
66900 174.009
67000 174.627
67100 175.344
67200 175.547
67300 175.423
67400 175.311
67500 175.312
67600 175.438
67700 175.345
67800 174.886
67900 175.113
68000 175.519
68100 175.496
68200 175.956
68300 176.06
68400 176.174
68500 176.421
68600 176.947
68700 176.922
68800 176.806
68900 176.82
69000 176.886
69100 176.799
69200 177.384
69300 177.519
69400 177.666
69500 177.897
69600 178.259
69700 178.128
69800 178.18
69900 178.462
70000 179.016
70100 179.491
70200 180.015
70300 180.109
70400 180.546
70500 180.808
70600 180.843
70700 180.814
70800 181.112
70900 181.468
71000 181.904
71100 182.413
71200 182.805
71300 183.353
71400 183.917
71500 184.546
71600 184.995
71700 184.903
71800 184.828
71900 184.607
72000 184.643
72100 185.022
72200 185.535
72300 186.033
72400 186.471
72500 186.659
72600 186.993
72700 187.514
72800 187.708
72900 188.008
73000 187.99
73100 188.042
73200 188.313
73300 188.393
73400 188.344
73500 188.465
73600 188.297
73700 188.052
73800 188.3
73900 188.626
74000 189.066
74100 189.41
74200 189.514
74300 189.804
74400 189.503
74500 189.315
74600 189.826
74700 190.364
74800 191.003
74900 191.437
75000 191.55
75100 191.661
75200 192.028
75300 192.63
75400 192.962
75500 192.898
75600 192.752
75700 192.896
75800 193.182
75900 193.678
76000 193.964
76100 194.145
76200 194.252
76300 194.62
76400 195.129
76500 195.002
76600 195.281
76700 195.456
76800 195.861
76900 196.271
77000 196.064
77100 196.206
77200 196.45
77300 196.691
77400 197.407
77500 197.997
77600 198.675
77700 198.751
77800 198.609
77900 199.108
78000 199.673
78100 200.39
78200 201.103
78300 201.372
78400 201.976
78500 202.02
78600 201.848
78700 201.761
78800 202.233
78900 202.014
79000 201.758
79100 202.098
79200 202.431
79300 202.698
79400 202.866
79500 202.871
79600 203.203
79700 203.496
79800 203.852
79900 204.003
80000 204.311
80100 204.507
80200 204.651
80300 205.044
80400 205.324
80500 205.822
80600 205.938
80700 205.874
80800 206.086
80900 206.461
81000 206.731
81100 207.061
81200 206.947
81300 206.922
81400 207.486
81500 207.574
81600 207.081
81700 206.918
81800 207.144
81900 207.567
82000 208.004
82100 208.294
82200 208.338
82300 208.245
82400 208.638
82500 208.874
82600 209.415
82700 210.336
82800 211.01
82900 211.647
83000 211.768
83100 211.879
83200 211.917
83300 212.514
83400 213.011
83500 213.451
83600 214.244
83700 214.965
83800 215.273
83900 215.188
84000 215.008
84100 215.33
84200 215.824
84300 216.188
84400 216.369
84500 216.938
