# Time-averaged data for fix coulombic_energy
# TimeStep c_pe_coul c_pe_pair c_qtotal
54400 -249.258 -7810.87 0
54500 -249.951 -7775.71 0
54600 -249.335 -7840.55 0
54700 -250.726 -7861.74 0
54800 -250.737 -7857.58 0
54900 -250.046 -7862.89 0
55000 -249.526 -7871.95 0
55100 -248.489 -7907.94 0
55200 -247.772 -7876.24 0
55300 -246.495 -7854.83 0
55400 -247.976 -7749.43 0
55500 -248.805 -7831.93 0
55600 -249.715 -7854.19 0
55700 -249.867 -7823.13 0
55800 -249.322 -7820.15 0
55900 -248.121 -7844.87 0
56000 -248.215 -7891.56 0
56100 -248.464 -7879.54 0
56200 -249.015 -7921.18 0
56300 -248.295 -7898.61 0
56400 -247.813 -7867.2 0
56500 -247.677 -7851.36 0
56600 -247.358 -7884.92 0
56700 -247.433 -7907.11 0
56800 -249.016 -7886.25 0
56900 -249.065 -7896.67 0
57000 -248.857 -7872.16 0
57100 -249.539 -7848.51 0
57200 -249.733 -7902.71 0
57300 -249.807 -7839.13 0
57400 -249.286 -7840.8 0
57500 -247.559 -7890.95 0
57600 -249.764 -7863.79 0
57700 -250.074 -7899.02 0
57800 -249.201 -7883.93 0
57900 -247.588 -7886.31 0
58000 -247.463 -7876.1 0
58100 -247.46 -7868.86 0
58200 -246.885 -7821.56 0
58300 -245.627 -7842.88 0
58400 -247.264 -7836.7 0
58500 -247.966 -7862.18 0
58600 -247.84 -7932.12 0
58700 -248.7 -7828.19 0
58800 -248.33 -7810.81 0
58900 -248.386 -7891.85 0
59000 -247.345 -7987.36 0
59100 -247.407 -7939.65 0
59200 -248.923 -7927.34 0
59300 -247.203 -7933.92 0
59400 -247.566 -7898.16 0
59500 -247.104 -7916.84 0
59600 -248.48 -7886.51 0
59700 -247.906 -7886.37 0
59800 -248.655 -7904.75 0
59900 -249.293 -7936.61 0
60000 -249.211 -7864.3 0
60100 -246.983 -7847 0
60200 -246.133 -7853.37 0
60300 -242.603 -7937.84 0
60400 -244.798 -7854.48 0
60500 -246.791 -7819.79 0
60600 -246.127 -7791.21 0
60700 -249.3 -7895.28 0
60800 -250.703 -7928.95 0
60900 -249.374 -7904.56 0
61000 -250.391 -7802.08 0
61100 -249.257 -7874.1 0
61200 -249.41 -7924.19 0
61300 -251.289 -7895.87 0
61400 -251.234 -7847.78 0
61500 -251.239 -7824.02 0
61600 -249.161 -7873.69 0
61700 -248.915 -7847.58 0
61800 -248.167 -7866.68 0
61900 -248.321 -7863.76 0
62000 -247.391 -7805.75 0
62100 -248.257 -7912.51 0
62200 -248.375 -7876.88 0
62300 -247.444 -7958.73 0
62400 -248.025 -7941.73 0
62500 -248.456 -7939.2 0
62600 -247.368 -7891.52 0
62700 -247.306 -7874.33 0
62800 -247.825 -7946.72 0
62900 -247.022 -7886.51 0
63000 -248.307 -7882.46 0
63100 -248.514 -7905.23 0
63200 -248.533 -7903.23 0
63300 -250.262 -7913.09 0
63400 -250.509 -7903.17 0
63500 -251.23 -7881.21 0
63600 -250.466 -7911.67 0
63700 -250.473 -7866.78 0
63800 -249.523 -7945.78 0
63900 -250.247 -7911.48 0
64000 -249.371 -7929.99 0
64100 -247.626 -7964.3 0
64200 -247.936 -7928.01 0
64300 -248.331 -7902.31 0
64400 -246.39 -7871.17 0
64500 -246.385 -7864.46 0
64600 -246.89 -7841.04 0
64700 -248.483 -7920.33 0
64800 -247.852 -7919.87 0
64900 -246.032 -7948.84 0
65000 -246.223 -7913.04 0
65100 -246.808 -7891.83 0
65200 -247.723 -7899.87 0
65300 -247.709 -7916.15 0
65400 -248.11 -7828.89 0
65500 -248.76 -7903.64 0
65600 -248.46 -7946.3 0
65700 -249.013 -7983.62 0
65800 -250.958 -7940.78 0
65900 -248.631 -7881.77 0
66000 -249.792 -7881.46 0
66100 -249.778 -7931.23 0
66200 -248.682 -7892.63 0
66300 -249.235 -7907.78 0
66400 -249.188 -7857.81 0
66500 -249.754 -7878.65 0
66600 -249.52 -7843.78 0
66700 -249.865 -7913.16 0
66800 -250.808 -7876.96 0
66900 -248.997 -7918.26 0
67000 -249.386 -7975.95 0
67100 -249.857 -7992.81 0
67200 -250.997 -7905.22 0
67300 -252.389 -7852.21 0
67400 -250.404 -7892.56 0
67500 -248.751 -7914.46 0
67600 -250.018 -7930.69 0
67700 -250.327 -7940.2 0
67800 -250.128 -7887.07 0
67900 -249.41 -7916.34 0
68000 -250.151 -7871.54 0
68100 -248.425 -7893.12 0
68200 -249.018 -7902.37 0
68300 -248.035 -7927.98 0
68400 -249.888 -7897.94 0
68500 -249.386 -7919.47 0
68600 -249.634 -7925.19 0
68700 -250.625 -7906.52 0
68800 -249.156 -7983.38 0
68900 -248.491 -7942.79 0
69000 -250.594 -7996.98 0
69100 -251.787 -7934.55 0
69200 -251.519 -7897.54 0
69300 -250.875 -7915.32 0
69400 -249.297 -7958.33 0
69500 -247.139 -8002.88 0
69600 -248.565 -8001.49 0
69700 -250.833 -7939.64 0
69800 -248.376 -7904.99 0
69900 -246.553 -7913.68 0
70000 -248.769 -7880.28 0
70100 -250.299 -7990.23 0
70200 -248.818 -7974.89 0
70300 -249.035 -7950.46 0
70400 -250.569 -7946.34 0
70500 -250.875 -7887.49 0
70600 -250.41 -7927.08 0
70700 -249.384 -7973.34 0
70800 -246.918 -7947.29 0
70900 -248.499 -7957.49 0
71000 -248.256 -7915.12 0
71100 -248.3 -7813.97 0
71200 -250.775 -7859.88 0
71300 -250.113 -7877.81 0
71400 -251.054 -7979.58 0
71500 -250.254 -7890.3 0
71600 -249.829 -7855.41 0
71700 -248.878 -7835.39 0
71800 -249.957 -7872.91 0
71900 -248.648 -7936.84 0
72000 -247.841 -7903.41 0
72100 -249.045 -7891.19 0
72200 -249.176 -7900.89 0
72300 -246.285 -7884.41 0
72400 -246.721 -7944.61 0
72500 -246.819 -7887.14 0
72600 -248.28 -7938.25 0
72700 -250.107 -7884.55 0
72800 -249.734 -7833.51 0
72900 -248.489 -7927.96 0
73000 -248.285 -7898.37 0
73100 -247.796 -7949.2 0
73200 -249.043 -7908.14 0
73300 -247.53 -7995.51 0
73400 -248.437 -7913.53 0
73500 -249.948 -7908.03 0
73600 -250.584 -7936.05 0
73700 -251.042 -7800.27 0
73800 -249.064 -7928.79 0
73900 -248.694 -7875.64 0
74000 -249.898 -7848.46 0
74100 -248.621 -7878 0
74200 -247.886 -7904.64 0
74300 -247.566 -7926.41 0
74400 -248.322 -7950.8 0
74500 -247.041 -7902.26 0
74600 -245.57 -7944.25 0
74700 -245.973 -7974.9 0
74800 -249.41 -7974.39 0
74900 -248.699 -7964.96 0
75000 -249.514 -7977.8 0
75100 -250.15 -7975.33 0
75200 -250.988 -7919.22 0
75300 -251.992 -7949.52 0
75400 -250.742 -7928.03 0
75500 -250.036 -7966.56 0
75600 -249.706 -7928.24 0
75700 -250.383 -7998.97 0
75800 -250.557 -8001.48 0
75900 -249.732 -8012.14 0
76000 -248.014 -7949.34 0
76100 -246.822 -7889.72 0
76200 -246.882 -7931.39 0
76300 -249.511 -7969.69 0
76400 -250.252 -7895.28 0
76500 -248.818 -7905.92 0
76600 -251.246 -7919.82 0
76700 -250.382 -7987.06 0
76800 -248.983 -7930.38 0
76900 -249.513 -7874.12 0
77000 -249.357 -7928.76 0
77100 -249.067 -7898.38 0
77200 -249.6 -7920.61 0
77300 -249.919 -7935.46 0
77400 -250.29 -7881.73 0
77500 -249.569 -7925.49 0
77600 -249.558 -8008.07 0
77700 -248.77 -7976.63 0
77800 -249.827 -8017.44 0
77900 -249.665 -8006.59 0
78000 -248.516 -7969.71 0
78100 -248.554 -7976.85 0
78200 -248.298 -7965.75 0
78300 -248.972 -7998 0
78400 -249.508 -7974.73 0
78500 -250.091 -7915.68 0
78600 -250.145 -7935.8 0
78700 -251.032 -7952.71 0
78800 -249.465 -7956.94 0
78900 -250.177 -8000.6 0
79000 -250.067 -7989.27 0
79100 -249.762 -7942.01 0
79200 -249.098 -7897.05 0
79300 -247.968 -7829.18 0
79400 -247.904 -7885.78 0
79500 -249.056 -7928.99 0
79600 -248.753 -7903.33 0
79700 -250.654 -7897.22 0
79800 -249.592 -7959.46 0
79900 -249.153 -7963.2 0
80000 -246.402 -8016.53 0
80100 -247.619 -7993.58 0
80200 -247.905 -7955.01 0
80300 -248.871 -7967.08 0
80400 -249.512 -7940.51 0
80500 -247.314 -7956.36 0
80600 -248.799 -7911.86 0
80700 -248.375 -7924.84 0
80800 -247.172 -7968.91 0
80900 -247.993 -7962.57 0
81000 -249.57 -7931.55 0
81100 -249.136 -7872.54 0
81200 -248.97 -7882.52 0
81300 -249.357 -7979.39 0
81400 -248.053 -7944.66 0
81500 -247.956 -7914.21 0
81600 -248.83 -7931.55 0
81700 -250.144 -7901.19 0
81800 -249.733 -7891.73 0
81900 -248.614 -7885.3 0
82000 -249.533 -7952.08 0
82100 -249.166 -7986.24 0
82200 -249.596 -7913.46 0
82300 -249.305 -7911.62 0
82400 -249.657 -7941.99 0
82500 -249.301 -7904.32 0
82600 -248.886 -7911.28 0
82700 -248.25 -7891.89 0
82800 -248.296 -7898.71 0
82900 -246.983 -7892.37 0
83000 -247.443 -7858.13 0
83100 -247.631 -7924.63 0
83200 -248.853 -7864.21 0
83300 -247.568 -7876.81 0
83400 -248.023 -7848.2 0
83500 -248.095 -7848.23 0
83600 -248.649 -7869.65 0
83700 -247.681 -7917.78 0
83800 -245.435 -7915.79 0
83900 -246.735 -7911.2 0
84000 -246.612 -7909.05 0
84100 -245.982 -7912.41 0
84200 -246.581 -7847.83 0
84300 -247.464 -7811.42 0
84400 -248.104 -7888.87 0
84500 -249.263 -7930.05 0
84600 -248.522 -7952.26 0
84700 -248.449 -7883.98 0
84800 -246.056 -7836.76 0
84900 -248.112 -7828.73 0
85000 -249.883 -7843.21 0
85100 -247.827 -7857.57 0
85200 -249.088 -7927.47 0
85300 -249.941 -7841.7 0
85400 -248.765 -7815.1 0
85500 -248.988 -7872.88 0
85600 -246.939 -7808.85 0
85700 -245.107 -7883.74 0
85800 -246.455 -7871.48 0
85900 -247.598 -7816.69 0
86000 -248.202 -7853.71 0
86100 -248.94 -7936.77 0
86200 -248.98 -7926.09 0
86300 -248.414 -7923.87 0
86400 -247.409 -7864.79 0
86500 -248.201 -7890.89 0
86600 -249.836 -7879.45 0
86700 -247.705 -7862.8 0
