# Time-averaged data for fix rg_avg_B
# TimeStep c_rg_B
15900 22.4336
16000 22.4859
16100 22.51
16200 22.5212
16300 22.5094
16400 22.5135
16500 22.5178
16600 22.5057
16700 22.5099
16800 22.5238
16900 22.523
17000 22.5427
17100 22.5625
17200 22.5867
17300 22.5983
17400 22.6125
17500 22.5949
17600 22.5871
17700 22.6158
17800 22.6407
17900 22.6482
18000 22.6689
18100 22.6768
18200 22.6674
18300 22.6897
18400 22.7106
18500 22.7322
18600 22.7607
18700 22.7673
18800 22.7777
18900 22.7934
19000 22.793
19100 22.7981
19200 22.8216
19300 22.8349
19400 22.8319
19500 22.8541
19600 22.8392
19700 22.8471
19800 22.8445
19900 22.8622
20000 22.8614
20100 22.8867
20200 22.9211
20300 22.9511
20400 22.9633
20500 22.9761
20600 23.0235
20700 23.0808
20800 23.1247
20900 23.1513
21000 23.187
21100 23.2291
21200 23.2694
21300 23.2922
21400 23.3168
21500 23.3161
21600 23.3202
21700 23.3547
21800 23.3622
21900 23.3811
22000 23.4093
22100 23.4309
22200 23.4459
22300 23.4904
22400 23.5142
22500 23.4945
22600 23.5033
22700 23.5273
22800 23.5256
22900 23.527
23000 23.5595
23100 23.5507
23200 23.5374
23300 23.534
23400 23.5241
23500 23.5431
23600 23.5804
23700 23.5917
23800 23.5975
23900 23.611
24000 23.609
24100 23.6249
24200 23.6604
24300 23.6768
24400 23.698
24500 23.7008
24600 23.727
24700 23.7442
24800 23.7422
24900 23.7588
25000 23.7861
25100 23.8127
25200 23.8234
25300 23.8157
25400 23.8224
25500 23.8533
25600 23.8937
25700 23.9354
25800 23.9444
25900 23.9637
26000 23.9803
26100 23.9823
26200 24.0199
26300 24.071
26400 24.0959
26500 24.1259
26600 24.1758
26700 24.1975
26800 24.2541
26900 24.2778
27000 24.2953
27100 24.328
27200 24.3797
27300 24.4318
27400 24.4495
27500 24.4971
27600 24.531
27700 24.5368
27800 24.5317
27900 24.5278
28000 24.5366
28100 24.5471
28200 24.5855
28300 24.599
28400 24.629
28500 24.6512
28600 24.6612
28700 24.6745
28800 24.6887
28900 24.7066
29000 24.72
29100 24.72
29200 24.7605
29300 24.7934
29400 24.8283
29500 24.8422
29600 24.8566
29700 24.8872
29800 24.92
29900 24.9579
30000 24.9798
30100 25.0141
30200 25.0456
30300 25.0881
30400 25.0982
30500 25.1253
30600 25.1462
30700 25.1776
30800 25.1949
30900 25.1842
31000 25.1926
31100 25.2108
31200 25.2349
31300 25.2691
31400 25.3057
31500 25.3045
31600 25.3393
31700 25.3559
31800 25.392
31900 25.4359
32000 25.473
32100 25.5058
32200 25.5269
32300 25.5452
32400 25.569
32500 25.5901
32600 25.61
32700 25.6111
32800 25.6307
32900 25.6626
33000 25.6838
33100 25.6921
33200 25.6976
33300 25.7204
33400 25.7423
33500 25.7462
33600 25.7767
33700 25.7751
33800 25.7838
33900 25.815
34000 25.8612
34100 25.8842
34200 25.9115
34300 25.9331
34400 25.9358
34500 25.9339
34600 25.9603
34700 26.0045
34800 26.0487
34900 26.0808
35000 26.0881
35100 26.097
35200 26.1002
35300 26.0837
35400 26.0913
35500 26.1123
35600 26.1123
35700 26.1497
35800 26.1723
35900 26.2053
36000 26.2331
36100 26.245
36200 26.2509
36300 26.2722
36400 26.2878
36500 26.3122
36600 26.3396
36700 26.3547
36800 26.3911
36900 26.4206
37000 26.4377
37100 26.48
37200 26.5226
37300 26.5403
37400 26.5652
37500 26.5832
37600 26.6075
37700 26.6596
37800 26.7025
37900 26.7339
38000 26.7599
38100 26.7983
38200 26.8355
38300 26.8471
38400 26.8798
38500 26.8756
38600 26.8748
38700 26.8646
38800 26.8758
38900 26.9057
39000 26.9118
39100 26.9393
39200 26.9544
39300 26.9775
39400 26.9825
39500 27.0017
39600 26.9865
39700 26.9819
39800 26.9958
39900 27.0236
40000 27.0434
40100 27.0713
40200 27.088
40300 27.1117
40400 27.0993
40500 27.129
40600 27.1405
40700 27.1289
40800 27.1271
40900 27.1431
41000 27.1395
41100 27.1403
41200 27.1725
41300 27.229
41400 27.2465
41500 27.2681
41600 27.2936
41700 27.2821
41800 27.2823
41900 27.2623
42000 27.2284
42100 27.2154
42200 27.2397
42300 27.2455
42400 27.2515
42500 27.2496
42600 27.2437
42700 27.2481
42800 27.2331
42900 27.2531
43000 27.2807
43100 27.3045
43200 27.2945
43300 27.2819
43400 27.2864
43500 27.2811
43600 27.2828
43700 27.2886
43800 27.3318
43900 27.3498
44000 27.3507
44100 27.3369
44200 27.3411
44300 27.3632
44400 27.3783
44500 27.396
44600 27.3979
44700 27.3904
44800 27.3718
44900 27.3482
45000 27.336
45100 27.3052
45200 27.2668
45300 27.2441
45400 27.2299
45500 27.2213
45600 27.222
45700 27.202
45800 27.192
45900 27.1806
46000 27.1885
46100 27.1912
46200 27.177
46300 27.1816
46400 27.178
46500 27.1713
46600 27.1712
46700 27.1646
46800 27.1447
46900 27.1456
47000 27.129
47100 27.1131
47200 27.1022
47300 27.0838
47400 27.0729
47500 27.077
47600 27.0913
47700 27.1041
47800 27.073
47900 27.0479
48000 27.0308
48100 27.0277
48200 27.0318
48300 26.9895
48400 26.9609
48500 26.9558
48600 26.9589
48700 26.9596
48800 26.9281
48900 26.8986
49000 26.879
49100 26.8756
49200 26.8497
49300 26.8013
49400 26.7931
49500 26.7775
49600 26.7527
49700 26.7545
49800 26.7561
49900 26.7591
50000 26.7467
50100 26.6977
50200 26.7085
50300 26.6945
50400 26.6554
50500 26.631
50600 26.5776
50700 26.5494
50800 26.5168
50900 26.4801
51000 26.4687
51100 26.4661
51200 26.4616
51300 26.4779
51400 26.4926
51500 26.4941
51600 26.5038
51700 26.4987
51800 26.5236
51900 26.5302
52000 26.5484
52100 26.546
52200 26.5456
52300 26.5563
52400 26.576
52500 26.5644
52600 26.5391
52700 26.5259
52800 26.5198
52900 26.5181
53000 26.4967
53100 26.4673
53200 26.4464
53300 26.4587
53400 26.4716
53500 26.4835
53600 26.4814
53700 26.4862
53800 26.4926
53900 26.4984
54000 26.5121
54100 26.4961
54200 26.4597
54300 26.4909
54400 26.4758
54500 26.4425
54600 26.4447
54700 26.4511
54800 26.451
54900 26.4628
55000 26.4687
55100 26.4628
55200 26.4504
55300 26.4397
55400 26.4396
55500 26.4578
55600 26.4825
55700 26.4883
55800 26.4844
55900 26.4941
56000 26.512
56100 26.5115
56200 26.509
56300 26.5125
56400 26.5339
56500 26.5768
56600 26.6218
56700 26.6338
56800 26.5949
56900 26.5534
57000 26.5599
57100 26.5427
57200 26.5492
57300 26.5417
57400 26.5155
57500 26.4873
57600 26.4605
57700 26.442
57800 26.4446
57900 26.4623
58000 26.4709
58100 26.4705
58200 26.4583
58300 26.4826
58400 26.4996
58500 26.4814
58600 26.4743
58700 26.4612
58800 26.451
58900 26.4312
59000 26.4248
59100 26.4407
59200 26.4598
59300 26.4594
59400 26.4447
59500 26.4606
59600 26.4635
59700 26.4377
59800 26.4223
59900 26.4264
60000 26.4581
60100 26.4435
60200 26.3961
60300 26.3847
60400 26.3943
60500 26.3996
60600 26.4038
60700 26.4156
60800 26.4268
60900 26.4276
61000 26.4198
61100 26.4333
61200 26.4144
61300 26.4093
61400 26.3962
61500 26.3971
61600 26.4098
61700 26.3866
61800 26.3592
61900 26.3352
62000 26.3193
62100 26.3319
62200 26.3312
62300 26.3372
62400 26.3457
62500 26.3697
62600 26.3682
62700 26.3423
62800 26.3699
62900 26.3619
63000 26.3556
63100 26.3521
63200 26.358
63300 26.3605
63400 26.3481
63500 26.3288
63600 26.3271
63700 26.3169
63800 26.3107
63900 26.3182
64000 26.3029
64100 26.2827
64200 26.2655
64300 26.2633
64400 26.2866
64500 26.2986
64600 26.3257
64700 26.3426
64800 26.3613
64900 26.3617
65000 26.3731
65100 26.3881
65200 26.3823
65300 26.3744
65400 26.3703
65500 26.3814
65600 26.3692
65700 26.358
65800 26.3631
65900 26.3675
66000 26.3824
66100 26.3693
66200 26.368
66300 26.3963
66400 26.425
66500 26.4483
66600 26.5296
66700 26.5682
66800 26.6055
66900 26.6285
67000 26.6184
67100 26.6059
67200 26.5964
67300 26.599
67400 26.6192
67500 26.6179
67600 26.5903
67700 26.5857
67800 26.585
67900 26.626
68000 26.6528
68100 26.684
68200 26.6797
68300 26.677
68400 26.6748
68500 26.6841
68600 26.6931
68700 26.6792
68800 26.679
68900 26.6881
69000 26.6644
69100 26.6214
69200 26.5983
69300 26.5613
69400 26.5308
69500 26.5065
69600 26.5017
69700 26.4898
69800 26.4688
69900 26.4632
70000 26.4727
70100 26.463
70200 26.4501
70300 26.4627
70400 26.4904
70500 26.5209
70600 26.5132
70700 26.4879
70800 26.4603
70900 26.4518
71000 26.4254
71100 26.396
71200 26.3771
71300 26.373
71400 26.3956
71500 26.3671
71600 26.3611
71700 26.3602
71800 26.3672
71900 26.3495
72000 26.3485
72100 26.3437
72200 26.3592
72300 26.3382
72400 26.3136
72500 26.2864
72600 26.2609
72700 26.2637
72800 26.2573
72900 26.2445
73000 26.2201
73100 26.2299
73200 26.2524
73300 26.2561
73400 26.2469
73500 26.2493
73600 26.2336
73700 26.2516
73800 26.2766
73900 26.2868
74000 26.2912
74100 26.2955
74200 26.3131
74300 26.3236
74400 26.32
74500 26.324
74600 26.3027
74700 26.3132
74800 26.3038
74900 26.3004
75000 26.2905
75100 26.2949
75200 26.2879
75300 26.2774
75400 26.2753
75500 26.2611
75600 26.2397
75700 26.2201
75800 26.2168
75900 26.2223
76000 26.2526
76100 26.2707
76200 26.2698
76300 26.2645
76400 26.2602
76500 26.2401
76600 26.2056
76700 26.18
76800 26.1797
76900 26.1856
77000 26.2194
77100 26.2548
77200 26.2857
77300 26.2956
77400 26.2915
77500 26.2707
77600 26.2883
77700 26.328
77800 26.355
77900 26.3874
78000 26.4088
78100 26.424
78200 26.4291
78300 26.4427
78400 26.4372
78500 26.4248
78600 26.4124
78700 26.4215
78800 26.4642
78900 26.4679
79000 26.4891
79100 26.4897
79200 26.4952
79300 26.5376
79400 26.5695
79500 26.5399
79600 26.5625
79700 26.5736
79800 26.5908
79900 26.5866
80000 26.5586
80100 26.528
80200 26.5048
80300 26.4843
80400 26.4608
80500 26.4373
80600 26.4044
80700 26.3918
80800 26.3681
80900 26.3619
81000 26.3576
81100 26.3698
81200 26.3814
81300 26.3916
81400 26.4108
81500 26.3922
81600 26.3564
81700 26.3615
81800 26.3593
81900 26.358
82000 26.3573
82100 26.3738
82200 26.3853
82300 26.382
82400 26.3707
82500 26.3396
82600 26.2971
82700 26.2985
82800 26.2984
82900 26.2861
83000 26.2678
83100 26.2809
83200 26.3055
83300 26.3156
83400 26.2957
83500 26.3018
83600 26.296
83700 26.2871
83800 26.2913
83900 26.292
84000 26.2872
84100 26.2798
84200 26.289
84300 26.2893
84400 26.2759
84500 26.2541
84600 26.2599
84700 26.2501
84800 26.2624
84900 26.2523
85000 26.2528
85100 26.2712
85200 26.2631
85300 26.2676
85400 26.2365
85500 26.2204
85600 26.1952
85700 26.2003
85800 26.2031
85900 26.1915
86000 26.2014
86100 26.1872
86200 26.1913
86300 26.2041
86400 26.2099
86500 26.2038
86600 26.2108
86700 26.2226
86800 26.2097
86900 26.211
87000 26.2154
87100 26.2224
87200 26.216
87300 26.209
87400 26.2145
87500 26.201
87600 26.1723
87700 26.1689
87800 26.1893
87900 26.1705
88000 26.1592
88100 26.1577
88200 26.1448
88300 26.132
88400 26.1287
88500 26.1444
88600 26.16
88700 26.1739
88800 26.1841
88900 26.2073
89000 26.2266
89100 26.2381
89200 26.272
89300 26.2983
89400 26.3437
89500 26.3795
89600 26.3959
89700 26.419
89800 26.4331
89900 26.4249
90000 26.4195
90100 26.3991
90200 26.4016
90300 26.3974
90400 26.4031
90500 26.4085
90600 26.3816
90700 26.3674
90800 26.333
90900 26.3259
91000 26.3236
91100 26.3123
91200 26.3283
91300 26.3515
91400 26.3532
91500 26.3423
91600 26.3446
91700 26.3363
91800 26.3346
91900 26.342
92000 26.3559
92100 26.3734
92200 26.3905
92300 26.4286
92400 26.4211
92500 26.427
92600 26.4362
92700 26.4557
92800 26.4621
92900 26.4631
93000 26.4537
93100 26.4686
93200 26.4876
93300 26.5064
93400 26.5209
93500 26.5102
93600 26.5326
93700 26.541
93800 26.5387
93900 26.5494
94000 26.5473
94100 26.5771
94200 26.5857
94300 26.5882
94400 26.608
94500 26.6392
94600 26.6514
94700 26.6717
94800 26.6897
94900 26.6957
95000 26.7151
95100 26.7186
95200 26.7242
95300 26.7383
95400 26.7523
95500 26.7221
95600 26.678
95700 26.6398
95800 26.5989
95900 26.5738
96000 26.5389
96100 26.4933
96200 26.4814
96300 26.4685
96400 26.4719
96500 26.4847
96600 26.4995
96700 26.492
96800 26.486
96900 26.4685
97000 26.4752
97100 26.4921
97200 26.5061
97300 26.5429
97400 26.5637
97500 26.5726
97600 26.5731
97700 26.5578
97800 26.5673
97900 26.5812
98000 26.5845
98100 26.5783
98200 26.5592
98300 26.55
98400 26.5462
98500 26.5256
98600 26.5163
98700 26.5459
98800 26.5569
98900 26.53
99000 26.5231
99100 26.4985
99200 26.4892
99300 26.4927
99400 26.4964
99500 26.5056
99600 26.4955
99700 26.4845
99800 26.4912
99900 26.5141
100000 26.5208
