# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
58000 250.198
58100 250.113
58200 250.209
58300 250.906
58400 252.143
58500 252.659
58600 252.94
58700 252.474
58800 252.387
58900 252.648
59000 253.156
59100 253.809
59200 254.867
59300 255.543
59400 256.797
59500 258.657
59600 259.814
59700 260.007
59800 259.764
59900 260.786
60000 262.077
60100 262.92
60200 263.041
60300 263.912
60400 264.964
60500 265.774
60600 267.036
60700 267.827
60800 268.377
60900 269.366
61000 269.594
61100 269.922
61200 270.201
61300 270.566
61400 270.4
61500 270.686
61600 271.246
61700 271.551
61800 272.156
61900 272.535
62000 273.389
62100 274.645
62200 275.407
62300 275.403
62400 276.189
62500 276.934
62600 277.583
62700 277.777
62800 278.247
62900 279.257
63000 280.101
63100 281.166
63200 282.259
63300 283.142
63400 284.114
63500 284.238
63600 284.629
63700 285.094
63800 286.126
63900 286.683
64000 287.005
64100 287.462
64200 287.901
64300 288.284
64400 289.557
64500 290.105
64600 290.962
64700 292.128
64800 293.486
64900 293.396
65000 293.809
65100 293.373
65200 293.67
65300 293.081
65400 293.324
65500 293.645
65600 294.012
65700 294.041
65800 293.751
65900 294.319
66000 295.251
66100 295.12
66200 295.215
66300 297.16
66400 298.685
66500 300.125
66600 301.8
66700 303.285
66800 305.006
66900 306.286
67000 306.734
67100 306.459
67200 306.791
67300 306.737
67400 308.315
67500 309.679
67600 309.298
67700 308.7
67800 309.015
67900 310.545
68000 312.156
68100 314.018
68200 313.465
68300 313.238
68400 313.333
68500 314.02
68600 315.704
68700 316.383
68800 316.566
68900 317.357
69000 317.084
69100 316.94
69200 317.003
69300 316.395
69400 315.355
69500 314.492
69600 314.463
69700 314
69800 313.79
69900 313.296
70000 313.53
70100 312.841
70200 312.416
70300 312.86
70400 313.969
70500 314.417
70600 314.343
70700 313.798
70800 313.049
70900 313.723
71000 313.429
71100 313.37
71200 312.997
71300 312.846
71400 314.083
71500 313.761
71600 314.192
71700 314.647
71800 315.4
71900 315.585
72000 315.336
72100 315.096
72200 315.32
72300 313.953
72400 312.552
72500 312.153
72600 312.028
72700 312.759
72800 312.516
72900 311.772
73000 311.013
73100 311.436
73200 312.053
73300 312.076
73400 311.488
73500 311.43
73600 311.48
73700 312.387
73800 313.664
73900 314.688
74000 315.497
74100 315.731
74200 316.238
74300 316.532
74400 316.893
74500 316.537
74600 316.682
74700 318.152
74800 318.741
74900 318.493
75000 318.005
75100 318.656
75200 318.421
75300 318.942
75400 319.382
75500 318.978
75600 319.168
75700 318.727
75800 317.554
75900 316.881
76000 317.244
76100 316.925
76200 316.012
76300 314.981
76400 314.275
76500 313.601
76600 312.439
76700 311.353
76800 311.32
76900 312.015
77000 313.278
77100 314.382
77200 314.737
77300 315.628
77400 316.059
77500 315.189
77600 314.681
77700 314.976
77800 315.76
77900 316.382
78000 317.097
78100 318.138
78200 318.788
78300 319.629
78400 319.591
78500 320.384
78600 320.391
78700 321.098
78800 322.491
78900 323.698
79000 324.511
79100 324.525
79200 324.324
79300 326.016
79400 327.618
79500 327.504
79600 327.104
79700 326.899
79800 327.309
79900 326.819
80000 325.882
80100 323.99
80200 323.258
80300 322.785
80400 322.611
80500 322.611
80600 322.358
80700 322.22
80800 321.394
80900 321.032
81000 320.895
81100 321.478
81200 322.263
81300 322.736
81400 323.683
81500 323.468
81600 322.59
81700 323.071
81800 322.65
81900 322.376
82000 321.74
82100 322.607
82200 323.479
82300 324.381
82400 325.263
82500 324.788
82600 324.024
82700 324.44
82800 324.644
82900 325.029
83000 324.606
83100 325.786
83200 326.756
83300 326.929
83400 327.334
83500 328.167
83600 328.577
83700 329.2
83800 329.243
83900 328.846
84000 329.117
84100 329.541
84200 329.717
84300 329.89
84400 330.447
84500 330.174
84600 329.304
84700 329.289
84800 328.9
84900 328.358
85000 328.56
85100 328.273
85200 326.944
85300 326.596
85400 325.577
85500 325.255
85600 325.244
85700 325.691
85800 326.252
85900 325.926
86000 326.157
86100 325.436
86200 325.973
86300 327.357
86400 327.499
86500 327.554
86600 326.394
86700 326.735
86800 325.967
86900 326.284
87000 326.711
87100 325.805
87200 324.864
87300 324.48
87400 324.844
87500 324.378
87600 323.568
87700 323.276
87800 324.008
87900 324.158
88000 322.689
88100 322.006
88200 321.698
88300 320.444
88400 319.159
88500 318.449
88600 317.984
88700 317.154
88800 316.771
88900 318.209
89000 319.085
89100 318.92
89200 319.89
89300 320.782
89400 321.775
89500 322.617
89600 323.561
89700 325.026
89800 326.175
89900 326.178
90000 325.715
90100 324.661
90200 324.864
90300 324.824
90400 325.686
90500 325.648
90600 324.731
90700 324.954
90800 325.022
90900 324.681
91000 325.254
91100 324.959
91200 324.985
91300 325.112
91400 324.692
91500 323.412
